model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
EpiSIG-Net-V3,state360,20,10,none,9,True,20260204_205312,98.11090087890624,111.84908294677734,226.6121411134011,147.84022521972656,0.8675775527954102,0.6553881764411926,0.004939220380038,0.7400712370872498,-1.026624083518982,0.7442828416824341,-0.1861735135316848,173.79391479492188
EpiSIG-Net-V3,state360,20,10,none,10,True,20260204_205430,101.3163604736328,115.78569793701172,225.92695341913057,149.7382354736328,0.8625739216804504,0.6391387581825256,0.004521888680756,0.7416406869888306,-1.187166452407837,0.7416967153549194,-0.4316214025020599,181.875732421875
EpiSIG-Net,state360,20,10,none,20,True,20260203_000133,110.61805725097656,128.66000366210938,260.25138088010215,169.6046142578125,0.8158391118049622,0.5243034958839417,0.0036373741459101,0.657173752784729,-1.6076252460479736,0.6571747064590454,-0.907603681087494,201.32554626464844
MSTAGAT-Net,state360,20,10,none,30,False,20260127_030249,122.49960327148438,142.33717346191406,265.50395771532294,177.20611572265625,0.8208765387535095,0.5241112112998962,0.0044075939804315,0.6431957483291626,-3.890312910079956,0.6437469720840454,-2.4606947898864746,213.0822296142578
EpiSIG-Net,state360,20,10,none,30,True,20260203_000302,102.60608673095705,115.08563232421876,243.8439962993758,158.11294555664062,0.8368592262268066,0.5810894966125488,0.0043116677552461,0.6990376710891724,-1.2519526481628418,0.7000585198402405,-0.3283036947250366,185.2147674560547
MSTAGAT-Net,state360,20,10,none,42,True,20260209_093538,95.1392593383789,113.07649993896484,225.88644824335967,142.3226318359375,0.8851532936096191,0.7273076772689819,0.0064118285663425,0.7621849775314331,-0.2660657167434692,0.7648990154266357,0.1609440147876739,176.74903869628906
MSTAGAT-Net,state360,20,10,none,45,False,20260127_030335,114.44749450683594,128.1926727294922,245.9221167361732,165.26092529296875,0.8581675291061401,0.6302558183670044,0.0039998129941523,0.6938860416412354,-4.120914459228516,0.6980056762695312,-2.322911739349365,189.7420196533203
EpiSIG-Net,state360,20,10,none,45,True,20260203_000640,92.4377899169922,102.84619140625,213.4279280430516,140.94187927246094,0.8799765110015869,0.6144312024116516,0.0037073050625622,0.7694365382194519,-0.4054462909698486,0.7715211510658264,-0.0252154357731342,170.26486206054688
EpiSIG-Net,state360,20,10,none,100,True,20260203_000803,96.9655532836914,107.19630432128906,223.54021240595617,147.26832580566406,0.8648840188980103,0.5881189107894897,0.0038805808871984,0.7470706105232239,-0.803045928478241,0.7470864057540894,-0.2278438061475753,167.54092407226562
MSTAGAT-Net,state360,20,10,none,123,False,20260127_030426,112.57396697998048,134.1128387451172,251.6401821053228,165.8202667236328,0.8342612981796265,0.5912455916404724,0.0035949426237493,0.6794852614402771,-3.299330711364746,0.6795190572738647,-2.0209572315216064,201.52882385253903
EpiSIG-Net,state360,20,10,none,123,True,20260203_000926,101.8398208618164,120.80550384521484,245.7283815516637,157.06283569335938,0.8376972675323486,0.5877798795700073,0.0042109545320272,0.6943681240081787,-0.9799042344093324,0.6984241604804993,-0.3776173889636993,191.9718017578125
EpiSIG-Net,state360,20,10,none,500,True,20260203_001108,109.43653106689452,128.3213653564453,263.271144093879,171.85659790039062,0.8128888607025146,0.5565125942230225,0.0038949640002101,0.649171769618988,-2.103576421737671,0.6495963931083679,-1.2884165048599243,205.06326293945312
MSTAGAT-Net,state360,20,10,none,1000,False,20260127_030508,103.6883544921875,122.06229400634766,239.474057506758,157.4874267578125,0.8479273915290833,0.6030938625335693,0.0033872472122311,0.7097281217575073,-1.924533486366272,0.7097581028938293,-1.08271324634552,183.0805206298828
EpiSIG-Net,state360,20,10,none,1000,True,20260203_001215,91.31459045410156,101.08015441894533,209.69639511684505,139.7672882080078,0.8820509910583496,0.6136326193809509,0.0027022608555853,0.7774283289909363,-0.5259228944778442,0.7777677178382874,-0.2032489776611328,161.44102478027344
EpiSIG-Net-V3,state360,20,14,no_agam,1,True,20260205_002018,110.80736541748048,124.33258056640624,239.451684844772,160.50277709960938,0.8446775674819946,0.5787660479545593,0.0058094467967748,0.7097823619842529,-2.147294044494629,0.7098190784454346,-0.9175132513046264,188.29949951171875
MSTAGAT-Net,state360,20,14,no_agam,5,False,20260127_055127,109.5530776977539,127.16028594970705,246.63379039073297,160.77903747558594,0.8350309133529663,0.6329767107963562,0.0039342129603028,0.6921117305755615,-1.8615423440933228,0.6957378387451172,-0.5885975956916809,195.6162567138672
EpiSIG-Net-V3,state360,20,14,no_mtfm,1,True,20260205_002222,110.80736541748048,124.33258056640624,239.451684844772,160.50277709960938,0.8446775674819946,0.5787660479545593,0.0058094467967748,0.7097823619842529,-2.147294044494629,0.7098190784454346,-0.9175132513046264,188.29949951171875
MSTAGAT-Net,state360,20,14,no_mtfm,5,False,20260127_055326,118.93791961669922,135.43948364257812,263.1464213370571,175.0061798095703,0.8102757334709167,0.5576612949371338,0.0049943816848099,0.6495040655136108,-3.739249706268311,0.6497089862823486,-2.152153491973877,209.5602569580078
